userId,type,country,orderNumber,experimentNumber,training, question,correctAnswer,userAnswer
14JG23,s,1,23,118,False,Mental Demand - How mentally demanding was the task? Very Low - Very High,,11
14JG23,s,1,23,118,False,Physical Demand - How physically demanding was the task? Very Low - Very High,,1
14JG23,s,1,23,118,False,Temporal Demand - How hurried or rushed was the pace of the task? Very Low - Very High,,2
14JG23,s,1,23,118,False,Performance - How successful were you in accomplishing what you were asked to do? Perfect - Failure),,11
14JG23,s,1,23,118,False,Effort - How hard did you have to work to accomplish your level of performance? Very Low - Very High,,11
14JG23,s,1,23,118,False,Frustration - How insecure discouraged irritated stressed and annoyed were you? Very Low - Very High,,7
14JG23,s,1,23,118,False,Which country does Laos not have a border with,Malaysia,Malaysia
14JG23,s,1,23,118,False,How many kingdoms was the Lan Xang kingdom was split into in the 18th century?,Three,Three
14JG23,s,1,23,118,False,What are the origins of Laos current government?,The Pathet Lao Guerrillas,The Pathet Lao Guerrillas
14JG23,s,1,23,118,False,In what type of landscape do the ethnically dominant people of Laos live?,Interior Lowlands,Foothills
14JG23,s,1,23,118,False,Which country is not in the top three trade nations with Laos?,Cambodia,Cambodia
14JG23,s,1,23,118,False,Who determines the government policies in Laos?,The Prime Minister Thongsing Thammavong,The eleven-member Politburo
14JG23,s,1,23,118,False,The number of elected officials over the last twenty years has:,Increased to 132 members,Stayed constant
14JG23,s,1,23,118,False,What is lam?,A music style,A variant of Buddhism
14JG23,s,1,23,118,False,

