userId,type,country,orderNumber,experimentNumber,training, question,correctAnswer,userAnswer
2ML3603,e,1,3,8,False,Mental Demand - How mentally demanding was the task? Very Low - Very High,,13
2ML3603,e,1,3,8,False,Physical Demand - How physically demanding was the task? Very Low - Very High,,1
2ML3603,e,1,3,8,False,Temporal Demand - How hurried or rushed was the pace of the task? Very Low - Very High,,13
2ML3603,e,1,3,8,False,Performance - How successful were you in accomplishing what you were asked to do? Perfect - Failure),,1
2ML3603,e,1,3,8,False,Effort - How hard did you have to work to accomplish your level of performance? Very Low - Very High,,6
2ML3603,e,1,3,8,False,Frustration - How insecure discouraged irritated stressed and annoyed were you? Very Low - Very High,,5
2ML3603,e,1,3,8,False,Which country does Laos not have a border with,Malaysia,Malaysia
2ML3603,e,1,3,8,False,How many kingdoms was the Lan Xang kingdom was split into in the 18th century?,Three,two
2ML3603,e,1,3,8,False,What are the origins of Laos current government?,The Pathet Lao Guerrillas,The French Colonial Resistance
2ML3603,e,1,3,8,False,In what type of landscape do the ethnically dominant people of Laos live?,Interior Lowlands,Coastal Rice Plains
2ML3603,e,1,3,8,False,Which country is not in the top three trade nations with Laos?,Cambodia,Cambodia
2ML3603,e,1,3,8,False,Who determines the government policies in Laos?,The Prime Minister Thongsing Thammavong,The Central Committee of the LPRP
2ML3603,e,1,3,8,False,The number of elected officials over the last twenty years has:,Increased to 132 members,Stayed constant
2ML3603,e,1,3,8,False,What is lam?,A music style,A music style
2ML3603,e,1,3,8,False,

